	Sentence#	Word	POS	Tag
124	10	ಪ್ರಾರಂಭದ	NN	O
125	10	ವೇಳೆಗೆ	NN	O
126	10	ನಾಗರಿಕ	JJ	O
127	10	ಸ್ವಾತಂತ್ರ್ಯ,	NN	O
128	10	ರಾಜಕೀಯ	NN	O
129	10	ಹಕ್ಕು,	NN	O
130	10	ಸಂಸ್ಕೃತಿ	NN	O
131	10	ಹಾಗೂ	CC	O
132	10	ದಿನನಿತ್ಯದ	NN	O
133	10	ಜೀವನದ	NN	O
134	10	ಮೇಲೆ	NST	O
135	10	ಬ್ರಿಟಿಷ್	NNP	B-COM
136	10	ದಬ್ಬಾಳಿಕೆಯ	NN	O
137	10	ಆಡಳಿತದ	NN	O
138	10	ವಿರುದ್ಧ	JJ	O
139	10	ಜನರ	NN	O
140	10	ದನಿ	NN	O
141	10	ಜೋರಾಗತೊಡಗಿ,	NN	O
142	10	ಬಾಲ	NN	O
143	10	ಗಂಗಾಂಧರ	NN	O
144	10	ತಿಲಕಮೊದಲಾದ	NN	O
145	10	ಕ್ರಾಂತಿಕಾರಿ	NN	O
146	10	ನೇತಾರರು	NN	O
147	10	ಸ್ವರಾಜ್ಯಕ್ಕೆ	NN	O
148	10	ಆಗ್ರಹಿಸತೊಡಗಿದರು	NN	O
149	10	.	SYM	O
150	11	೧೯೧೮	NN	B-DATE
151	11	ಹಾಗು	NN	O
152	11	೧೯೨೨ರ	NN	O
153	11	ನಡುವಿನ	NST	O
154	11	ಅವಧಿಯಲ್ಲಿ	NN	O
155	11	ಮೋಹನದಾಸ	NN	B-PER
156	11	ಗಾಂಧಿಯವರ	NNP	I-PER
157	11	ನೇತೃತ್ವದಲ್ಲಿ	NN	O
158	11	ಅಹಿಂಸಾತ್ಮಕವಾದ	NN	O
159	11	ಅಸಹಕಾರ	NN	O
160	11	ಚಳವಳಿಯ	NN	O
161	11	ಮೊದಲ	QO	O
162	11	ಸರಣಿಯನ್ನು	NN	O
163	11	ಭಾರತೀಯ	NN	B-ORG
164	11	ರಾಷ್ಟ್ರೀಯ	JJ	I-ORG
165	11	ಕಾಂಗ್ರೆಸ್	NN	I-ORG
166	11	ಪ್ರಾರಂಭಿಸಿದೊಡನೆ	NN	O
167	11	ಸ್ವಾತಂತ್ರ್ಯ	NN	O
168	11	ಸಂಗ್ರಾಮಕ್ಕೆ	NN	O
169	11	ಮಹತ್ವದ	NN	O
170	11	ದಿಕ್ಕು	NN	O
171	11	ದೊರೆಯಿತು	VM	O
172	11	.	SYM	O
173	12	ಭಾರತದ	NNP	B-LOC
174	12	ಎಲ್ಲೆಡೆಯಿಂದ	NN	O
175	12	ಅನೇಕ	JJ	O
176	12	ಜನ	NN	O
177	12	ಈ	DEM	O
178	12	ಆಂದೋಲನದಲ್ಲಿ	NN	O
179	12	ಭಾಗಿಗಳಾದರು	NN	O
180	12	.	SYM	O
181	13	೧೯೩೦ರಲ್ಲಿ	NN	O
182	13	ಪೂರ್ಣ	JJ	O
183	13	ಸ್ವರಾಜ್ಯಕ್ಕೆ	NN	O
184	13	ಬದ್ಧವಾದ	NN	O
185	13	ಕಾಂಗ್ರೆಸ್	NN	B-ORG
186	13	೧೯೪೨ರಲ್ಲಿ	NN	O
187	13	ಬ್ರಿಟಿಷರೇ	NN	O
188	13	ಭಾರತ	NN	B-LOC
189	13	ಬಿಟ್ಟು	NN	O
190	13	ತೊಲಗಿಎನ್ನುವ	NN	O
191	13	ಒತ್ತಾಯದ	NN	O
192	13	ಬೇಡಿಕೆಯನ್ನು	NN	O
193	13	ಮಾಡಿತು	VM	O
194	13	.	SYM	O
195	14	ಬ್ರಿಟಿಷ	NN	B-COM
196	14	ಆಡಳಿತವನ್ನು	NN	O
197	14	ಕೊನೆಗೊಳಿಸಲು	NN	O
198	14	೧೯೪೨ರಲ್ಲಿ	NN	O
199	14	ಸುಭಾಷಚಂದ್ರ	NN	B-PER
200	14	ಬೋಸ್ರು	NN	I-PER
201	14	ಭಾರತೀಯ	NN	B-ORG
202	14	ರಾಷ್ಟ್ರೀಯ	JJ	I-ORG
203	14	ಸೈನ್ಯವನ್ನು	NN	I-ORG
204	14	ಸಂಘಟಿಸಿದರೂ	NN	O
205	14	ಅವರ	PRP	O
206	14	ಅಕಾಲ	NN	O
207	14	ಮರಣದಿಂದ	NN	O
208	14	ಈ	DEM	O
209	14	ಪ್ರಯತ್ನ	NN	O
210	14	ವಿಫಲವಾಯಿತು	NN	O
211	14	.	SYM	O
212	15	ಎರಡನೇ	QO	B-NUM
213	15	ಮಹಾಯುದ್ಧದ	NN	O
214	15	ನಂತರ	NN	O
215	15	ಈ	NN	O
216	15	ಎಲ್ಲಾ	NN	O
217	15	ಪ್ರಯತ್ನಗಳ	NN	O
218	15	ಪರಿಣಾಮವಾಗಿ	NN	O
219	15	ಭಾರತಹಾಗು	NN	O
220	15	ಪಾಕಿಸ್ತಾನವೆಂದು	NN	O
221	15	ಇಬ್ಭಾಗಿಸುವ	NN	O
222	15	ದೇಶವಿಭಜನೆಯ	NN	O
223	15	ಬೆಲೆ	NN	O
224	15	ತೆತ್ತ	NN	O
225	15	ಬಳಿಕ,	NN	O
226	15	ಭಾರತವು	NN	O
227	15	೧೫	NN	B-DATE
228	15	ಆಗಸ್ಟ	NN	B-DATE
229	15	೧೯೪೭	NN	B-DATE
230	15	ರಂದು	NN	O
231	15	ಬ್ರಿಟಿಷ್	NN	O
232	15	ಆಡಳಿತದಿಂದ	NN	O
233	15	ಸ್ವಾತಂತ್ರ್ಯ	NN	O
234	15	ವನ್ನು	NN	O
235	15	ಪಡೆಯಿತು.	NN	O
236	15	.	SYM	O
